903   0.000000 __libc_start_main(0x401f50, 2, 0x7fff89dd5dc8, 0x406b90, 0x406c20 <unfinished ...>
903   0.000062 fgets("", 85505589, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000076 fgets("", 85505603, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000062 JLI_MemAlloc(320, 0x7f960518b643, 0, 0x7fffaaacf780, 1)                                          = 0x121a2d0
903   0.000084 JLI_MemFree(0, 134464, 0x7f960493f720, 0x400000, 3)                                              = 0
903   0.000069 strcspn("-server KNOWN", " \t")                                                                  = 7
903   0.000083 strspn("KNOWN", " \t")                                                                           = 0
903   0.000078 JLI_StringDup(0x7fffaaacf780, 0x7fffaaacf78d, 0x121a2d0, 0, 0)                                   = 0x121a420
903   0.000079 fgets("", 85505618, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000064 strcspn("-client IGNORE", " \t")                                                                 = 7
903   0.000060 strspn("IGNORE", " \t")                                                                          = 0
903   0.000069 JLI_StringDup(0x7fffaaacf780, 0x7fffaaacf78e, 0x121a2f0, 0, 0)                                   = 0x121a440
903   0.000075 fgets("", 85505633, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000062 strcspn("-hotspot ERROR", " \t")                                                                 = 8
903   0.000059 strspn("ERROR", " \t")                                                                           = 0
903   0.000060 JLI_StringDup(0x7fffaaacf780, 0x7fffaaacf78e, 0x121a310, 0, 0)                                   = 0x121a460
903   0.000081 fgets("", 85505647, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000077 strcspn("-classic WARN", " \t")                                                                  = 8
903   0.000060 strspn("WARN", " \t")                                                                            = 0
903   0.000057 JLI_StringDup(0x7fffaaacf780, 0x7fffaaacf78d, 0x121a330, 0, 0)                                   = 0x121a480
903   0.000078 fgets("", 85505661, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000077 strcspn("-native ERROR", " \t")                                                                  = 7
903   0.000065 strspn("ERROR", " \t")                                                                           = 0
903   0.000058 JLI_StringDup(0x7fffaaacf780, 0x7fffaaacf78d, 0x121a350, 0, 0)                                   = 0x121a4a0
903   0.000069 fgets("", 85505674, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000075 strcspn("-green ERROR", " \t")                                                                   = 6
903   0.000072 strspn("ERROR", " \t")                                                                           = 0
903   0.000061 JLI_StringDup(0x7fffaaacf780, 0x7fffaaacf78c, 0x121a370, 0, 0)                                   = 0x121a4c0
903   0.000068 fgets("", 85505687, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000076 strcspn("-jamvm KNOWN", " \t")                                                                   = 6
903   0.000061 strspn("KNOWN", " \t")                                                                           = 0
903   0.000058 JLI_StringDup(0x7fffaaacf780, 0x7fffaaacf78c, 0x121a390, 0, 0)                                   = 0x121a4e0
903   0.000082 fgets("", 85505700, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000077 strcspn("-cacao KNOWN", " \t")                                                                   = 6
903   0.000060 strspn("KNOWN", " \t")                                                                           = 0
903   0.000057 JLI_StringDup(0x7fffaaacf780, 0x7fffaaacf78c, 0x121a3b0, 0, 0)                                   = 0x121a500
903   0.000068 fgets("", 85505712, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000074 strcspn("-zero KNOWN", " \t")                                                                    = 5
903   0.000066 strspn("KNOWN", " \t")                                                                           = 0
903   0.000057 JLI_StringDup(0x7fffaaacf780, 0x7fffaaacf78b, 0x121a3d0, 0, 0)                                   = 0x121a520
903   0.000069 fgets("", 85505725, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000070 strcspn("-shark ERROR", " \t")                                                                   = 6
903   0.000076 strspn("ERROR", " \t")                                                                           = 0
903   0.000074 JLI_StringDup(0x7fffaaacf780, 0x7fffaaacf78c, 0x121a3f0, 0, 0)                                   = 0x121a540
903   0.000078 fgets("\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377"..., 85504000, 0x121a170) = NULL
903   0.000098 fclose(0x121a090)                                                                                = 0
903   0.000112 getenv("JDK_ALTERNATE_VM")                                                                       = NULL
903   0.000064 JLI_MemAlloc(24, 0xffffff80, 7, 74, 0x7f9605180700)                                              = 0x121a090
903   0.000091 strchr("server", '/')                                                                            = NULL
903   0.000103 __sprintf_chk(0x7fffaaad2a30, 1, -1, 0x4078da, 0x7fffaaad1a30)                                   = 64
903   0.000087 __xstat(1, "/usr/lib/jvm/java-6-openjdk-amd6"..., 0x7fffaaad0840)                                = 0
903   0.000103 getenv("LD_LIBRARY_PATH")                                                                        = "/usr/lib/jvm/java-6-openjdk-amd6"...
903   0.000083 getgid()                                                                                         = 1000
903   0.000081 getegid()                                                                                        = 1000
903   0.000073 getuid()                                                                                         = 1000
903   0.000106 geteuid()                                                                                        = 1000
903   0.000068 JLI_StringDup(0x7fffaaad2a30, 0x407911, 13, -1, 0x7fffaaad2a66)                                  = 0x121a0b0
903   0.000081 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                    = 153
903   0.000080 strlen("amd64")                                                                                  = 5
903   0.000060 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                    = 37
903   0.000061 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                    = 64
903   0.000061 JLI_MemAlloc(353, 0x7fffaaad2a71, 0, 48, 0x2f3436646d612f62)                                     = 0x121a100
903   0.000084 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                              = "/libjvm.so"
903   0.000080 __sprintf_chk(0x121a100, 1, -1, 0x407b90, 0x121a0b0)                                             = 169
903   0.000074 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                    = 153
903   0.000080 strncmp("/usr/lib/jvm/java-6-openjdk-amd6"..., "/usr/lib/jvm/java-6-openjdk-amd6"..., 153)       = 0
903   0.000069 dlopen("/usr/lib/jvm/java-6-openjdk-amd6"..., 258)                                               = 0x0121a5b0
903   0.003821 dlsym(0x0121a5b0, "JNI_CreateJavaVM")                                                            = 0x7f9603c021e0
903   0.000084 dlsym(0x0121a5b0, "JNI_GetDefaultJavaVMInitArgs")                                                = 0x7f9603c021a0
903   0.000080 getenv("CLASSPATH")                                                                              = NULL
903   0.000080 JLI_WildcardExpandClasspath(0x40790d, 0x407075, 0x40790d, 65, 65535)                             = 0x40790d
903   0.000092 strlen(".")                                                                                      = 1
903   0.000078 JLI_MemAlloc(41, 0, 1, 13, 0x407900)                                                             = 0x121c900
903   0.000074 __sprintf_chk(0x121c900, 1, -1, 0x406f36, 0x40790d)                                              = 19
903   0.000112 JLI_MemAlloc(64, 0, 0x121c913, 0, 0x406f4a)                                                      = 0x121c940
903   0.000092 JLI_StrCCmp(0x121c900, 0x406d53, 0, 2, 5)                                                        = 0xffffffec
903   0.000079 JLI_MemAlloc(33, -1, 0, 14, 5)                                                                   = 0x121c990
