454   0.000000 __libc_start_main(0x401f50, 2, 0x7fff637b0c48, 0x406b90, 0x406c20 <unfinished ...>
454   0.000070 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                    = 153
454   0.000063 strncmp("/usr/lib/jvm/java-6-openjdk-amd6"..., "/usr/lib/jvm/java-6-openjdk-amd6"..., 153)       = 0
454   0.000067 dlopen("/usr/lib/jvm/java-6-openjdk-amd6"..., 258)                                               = 0x018585b0
454   0.004493 dlsym(0x018585b0, "JNI_CreateJavaVM")                                                            = 0x7fcc2d2761e0
454   0.000086 dlsym(0x018585b0, "JNI_GetDefaultJavaVMInitArgs")                                                = 0x7fcc2d2761a0
454   0.000077 getenv("CLASSPATH")                                                                              = NULL
454   0.000063 JLI_WildcardExpandClasspath(0x40790d, 0x407075, 0x40790d, 65, 65535)                             = 0x40790d
454   0.000079 strlen(".")                                                                                      = 1
454   0.000060 JLI_MemAlloc(41, 0, 1, 13, 0x407900)                                                             = 0x185a900
454   0.000070 __sprintf_chk(0x185a900, 1, -1, 0x406f36, 0x40790d)                                              = 19
454   0.000072 JLI_MemAlloc(64, 0, 0x185a913, 0, 0x406f4a)                                                      = 0x185a940
454   0.000080 JLI_StrCCmp(0x185a900, 0x406d53, 0, 2, 5)                                                        = 0xffffffec
454   0.000077 JLI_MemAlloc(33, -1, 0, 14, 5)                                                                   = 0x185a990
454   0.000070 strcat("-Dsun.java.command=", "NonConcurrent")                                                   = "-Dsun.java.command=NonConcurrent"
454   0.000079 JLI_StrCCmp(0x185a990, 0x406d53, 16, 2, 3)                                                       = 0xffffffec
454   0.000069 JLI_StrCCmp(0x407628, 0x406d53, 32, 2, 3)                                                        = 0xffffffec
454   0.000069 JLI_MemAlloc(45, 0x406d53, 1, 88, 3)                                                             = 0x185a9c0
454   0.000075 getpid()                                                                                         = 454
454   0.000056 __sprintf_chk(0x185a9c0, 1, -1, 0x407a3f, 0x407a26)                                              = 27
454   0.000073 JLI_StrCCmp(0x185a9c0, 0x406d53, 48, 2, 0x407a43)                                                = 0xffffffec
454   0.000069 getenv("_JAVA_SPLASH_JAR")                                                                       = NULL
454   0.000063 getenv("_JAVA_SPLASH_FILE")                                                                      = NULL
454   0.000060 strchr("_JAVA_VERSION_SET", '=')                                                                 = NULL
454   0.000060 strchr("_JAVA_SPLASH_FILE", '=')                                                                 = NULL
454   0.000059 strchr("_JAVA_SPLASH_JAR", '=')                                                                  = NULL
454   0.000059 JLI_MemFree(0, 0, 76, 95, 0x7fcc2dfb6548)                                                        = 0
454   0.000069 JLI_MemFree(0, 0, 76, 95, 0x7fcc2dfb6548)                                                        = 0
454   0.000085 pthread_attr_init(0x7fff915aa740, 0x100000, 0x7fff915aa860, 0, 0x7fcc2dfb6548)                   = 0
454   0.000081 pthread_attr_setdetachstate(0x7fff915aa740, 0, 0, 0, 0x7fcc2dfb6548)                             = 0
454   0.000072 pthread_attr_setstacksize(0x7fff915aa740, 0x100000, 0, 0, 0x7fcc2dfb6548)                        = 0
454   0.000073 pthread_create(0x7fff915aa730, 0x7fff915aa740, 0x403d70, 0x7fff915aa860, 0x7fcc2dfb6548)         = 0
454   0.000279 pthread_join(0x7fcc2e7f2700, 0x7fff915aa738, 0x7fcc2e7f29d0, -1, 0x7fcc2e7f2700 <unfinished ...>
455   0.270926 JLI_MemFree(0x185a940, 0, 0x7fcc2d9c4bb8, -1, 0x7fcc2d9dec80)                                    = 0
455   0.000170 JLI_MemFree(0x1858420, 10, 0, 0x7fcc2dfb3740, 0x7fcc2d9dec80)                                    = 0x185a700
455   0.000116 JLI_MemFree(0x1858440, 0xffffffff, 0x185a700, 0x7fcc2dfb3728, 0x7fcc2d9dec80)                    = 0x1858410
455   0.000112 JLI_MemFree(0x1858460, 0xffffffff, 0x1858410, 0x7fcc2dfb3728, 0x7fcc2d9dec80)                    = 0x1858430
455   0.000111 JLI_MemFree(0x1858480, 0xffffffff, 0x1858430, 0x7fcc2dfb3728, 0x7fcc2d9dec80)                    = 0x1858450
455   0.000099 JLI_MemFree(0x18584a0, 0xffffffff, 0x1858450, 0x7fcc2dfb3728, 0x7fcc2d9dec80)                    = 0x1858470
455   0.000078 JLI_MemFree(0x18584c0, 0xffffffff, 0x1858470, 0x7fcc2dfb3728, 0x7fcc2d9dec80)                    = 0x1858490
455   0.000076 JLI_MemFree(0x18584e0, 0xffffffff, 0x1858490, 0x7fcc2dfb3728, 0x7fcc2d9dec80)                    = 0x18584b0
