20973   0.000000 __libc_start_main(0x401f50, 2, 0x7fffacba4bc8, 0x406b90, 0x406c20 <unfinished ...>
20973   0.000058 fgets("", -734809233, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000059 fgets("", -734809160, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000057 fgets("", -734809096, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000058 fgets("", -734809094, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000058 fgets("", -734809020, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000058 fgets("", -734808947, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000058 fgets("", -734808934, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000058 fgets("", -734808932, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000057 fgets("", -734808929, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000058 fgets("", -734808863, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000058 fgets("", -734808800, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000058 fgets("", -734808733, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000057 fgets("", -734808697, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000058 fgets("", -734808695, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000058 fgets("", -734808633, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000058 fgets("", -734808573, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000058 fgets("", -734808525, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000057 fgets("", -734808523, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000058 fgets("", -734808509, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000057 JLI_MemAlloc(320, 0x7fe5d433b643, 0, 0x7fff92cfecb0, 1)                                        = 0x21742d0
20973   0.000067 JLI_MemFree(0, 134464, 0x7fe5d3aef720, 0x400000, 3)                                            = 0
20973   0.000067 strcspn("-server KNOWN", " \t")                                                                = 7
20973   0.000064 strspn("KNOWN", " \t")                                                                         = 0
20973   0.000060 JLI_StringDup(0x7fff92cfecb0, 0x7fff92cfecbd, 0x21742d0, 0, 0)                                 = 0x2174420
20973   0.000073 fgets("", -734808494, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000061 strcspn("-client IGNORE", " \t")                                                               = 7
20973   0.000057 strspn("IGNORE", " \t")                                                                        = 0
20973   0.000055 JLI_StringDup(0x7fff92cfecb0, 0x7fff92cfecbe, 0x21742f0, 0, 0)                                 = 0x2174440
20973   0.000066 fgets("", -734808479, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000060 strcspn("-hotspot ERROR", " \t")                                                               = 8
20973   0.000056 strspn("ERROR", " \t")                                                                         = 0
20973   0.000055 JLI_StringDup(0x7fff92cfecb0, 0x7fff92cfecbe, 0x2174310, 0, 0)                                 = 0x2174460
20973   0.000067 fgets("", -734808465, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000060 strcspn("-classic WARN", " \t")                                                                = 8
20973   0.000108 strspn("WARN", " \t")                                                                          = 0
20973   0.000057 JLI_StringDup(0x7fff92cfecb0, 0x7fff92cfecbd, 0x2174330, 0, 0)                                 = 0x2174480
20973   0.000068 fgets("", -734808451, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000060 strcspn("-native ERROR", " \t")                                                                = 7
20973   0.000056 strspn("ERROR", " \t")                                                                         = 0
20973   0.000056 JLI_StringDup(0x7fff92cfecb0, 0x7fff92cfecbd, 0x2174350, 0, 0)                                 = 0x21744a0
20973   0.000066 fgets("", -734808438, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000061 strcspn("-green ERROR", " \t")                                                                 = 6
20973   0.000056 strspn("ERROR", " \t")                                                                         = 0
20973   0.000055 JLI_StringDup(0x7fff92cfecb0, 0x7fff92cfecbc, 0x2174370, 0, 0)                                 = 0x21744c0
20973   0.000066 fgets("", -734808425, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000060 strcspn("-jamvm KNOWN", " \t")                                                                 = 6
20973   0.000057 strspn("KNOWN", " \t")                                                                         = 0
20973   0.000055 JLI_StringDup(0x7fff92cfecb0, 0x7fff92cfecbc, 0x2174390, 0, 0)                                 = 0x21744e0
20973   0.000066 fgets("", -734808412, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000059 strcspn("-cacao KNOWN", " \t")                                                                 = 6
20973   0.000056 strspn("KNOWN", " \t")                                                                         = 0
20973   0.000055 JLI_StringDup(0x7fff92cfecb0, 0x7fff92cfecbc, 0x21743b0, 0, 0)                                 = 0x2174500
20973   0.000066 fgets("", -734808400, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000059 strcspn("-zero KNOWN", " \t")                                                                  = 5
20973   0.000057 strspn("KNOWN", " \t")                                                                         = 0
20973   0.000055 JLI_StringDup(0x7fff92cfecb0, 0x7fff92cfecbb, 0x21743d0, 0, 0)                                 = 0x2174520
20973   0.000066 fgets("", -734808387, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000059 strcspn("-shark ERROR", " \t")                                                                 = 6
