20845   0.000000 __libc_start_main(0x401f50, 2, 0x7fff5af84578, 0x406b90, 0x406c20 <unfinished ...>
20845   0.000060 strcspn("-jamvm KNOWN", " \t")                                                                 = 6
20845   0.000056 strspn("KNOWN", " \t")                                                                         = 0
20845   0.000056 JLI_StringDup(0x7fffc0cf98e0, 0x7fffc0cf98ec, 0x17b6390, 0, 0)                                 = 0x17b64e0
20845   0.000066 fgets("", 1748461220, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000059 strcspn("-cacao KNOWN", " \t")                                                                 = 6
20845   0.000057 strspn("KNOWN", " \t")                                                                         = 0
20845   0.000054 JLI_StringDup(0x7fffc0cf98e0, 0x7fffc0cf98ec, 0x17b63b0, 0, 0)                                 = 0x17b6500
20845   0.000067 fgets("", 1748461232, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000060 strcspn("-zero KNOWN", " \t")                                                                  = 5
20845   0.000057 strspn("KNOWN", " \t")                                                                         = 0
20845   0.000055 JLI_StringDup(0x7fffc0cf98e0, 0x7fffc0cf98eb, 0x17b63d0, 0, 0)                                 = 0x17b6520
20845   0.000067 fgets("", 1748461245, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000060 strcspn("-shark ERROR", " \t")                                                                 = 6
20845   0.000063 strspn("ERROR", " \t")                                                                         = 0
20845   0.000057 JLI_StringDup(0x7fffc0cf98e0, 0x7fffc0cf98ec, 0x17b63f0, 0, 0)                                 = 0x17b6540
20845   0.000066 fgets("\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377"..., 1748459520, 0x17b6170) = NULL
20845   0.000080 fclose(0x17b6090)                                                                              = 0
20845   0.000104 getenv("JDK_ALTERNATE_VM")                                                                     = NULL
20845   0.000061 JLI_MemAlloc(24, 0xffffff80, 7, 74, 0x7f316836b700)                                            = 0x17b6090
20845   0.000068 strchr("server", '/')                                                                          = NULL
20845   0.000276 __sprintf_chk(0x7fffc0cfcb90, 1, -1, 0x4078da, 0x7fffc0cfbb90)                                 = 64
20845   0.000174 __xstat(1, "/usr/lib/jvm/java-6-openjdk-amd6"..., 0x7fffc0cfa9a0)                              = 0
20845   0.000223 getenv("LD_LIBRARY_PATH")                                                                      = "/usr/lib/jvm/java-6-openjdk-amd6"...
20845   0.000072 getgid()                                                                                       = 1000
20845   0.000095 getegid()                                                                                      = 1000
20845   0.000086 getuid()                                                                                       = 1000
20845   0.000068 geteuid()                                                                                      = 1000
20845   0.000067 JLI_StringDup(0x7fffc0cfcb90, 0x407911, 13, -1, 0x7fffc0cfcbc6)                                = 0x17b60b0
20845   0.000097 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                  = 153
20845   0.000079 strlen("amd64")                                                                                = 5
20845   0.000065 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                  = 37
20845   0.000059 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                  = 64
20845   0.000060 JLI_MemAlloc(353, 0x7fffc0cfcbd1, 0, 48, 0x2f3436646d612f62)                                   = 0x17b6100
20845   0.000080 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                            = "/libjvm.so"
20845   0.000080 __sprintf_chk(0x17b6100, 1, -1, 0x407b90, 0x17b60b0)                                           = 169
20845   0.000073 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                  = 153
20845   0.000062 strncmp("/usr/lib/jvm/java-6-openjdk-amd6"..., "/usr/lib/jvm/java-6-openjdk-amd6"..., 153)     = 0
20845   0.000074 dlopen("/usr/lib/jvm/java-6-openjdk-amd6"..., 258)                                             = 0x017b65b0
20845   0.004136 dlsym(0x017b65b0, "JNI_CreateJavaVM")                                                          = 0x7f3166ded1e0
20845   0.000086 dlsym(0x017b65b0, "JNI_GetDefaultJavaVMInitArgs")                                              = 0x7f3166ded1a0
20845   0.000075 getenv("CLASSPATH")                                                                            = NULL
20845   0.000062 JLI_WildcardExpandClasspath(0x40790d, 0x407075, 0x40790d, 65, 65535)                           = 0x40790d
20845   0.000104 strlen(".")                                                                                    = 1
20845   0.000098 JLI_MemAlloc(41, 0, 1, 13, 0x407900)                                                           = 0x17b8900
20845   0.000230 __sprintf_chk(0x17b8900, 1, -1, 0x406f36, 0x40790d)                                            = 19
20845   0.000116 JLI_MemAlloc(64, 0, 0x17b8913, 0, 0x406f4a)                                                    = 0x17b8940
20845   0.000114 JLI_StrCCmp(0x17b8900, 0x406d53, 0, 2, 5)                                                      = 0xffffffec
20845   0.000077 JLI_MemAlloc(33, -1, 0, 14, 5)                                                                 = 0x17b8990
20845   0.000069 strcat("-Dsun.java.command=", "ThreadSpawner")                                                 = "-Dsun.java.command=ThreadSpawner"
20845   0.000078 JLI_StrCCmp(0x17b8990, 0x406d53, 16, 2, 3)                                                     = 0xffffffec
20845   0.000068 JLI_StrCCmp(0x407628, 0x406d53, 32, 2, 3)                                                      = 0xffffffec
20845   0.000066 JLI_MemAlloc(45, 0x406d53, 1, 88, 3)                                                           = 0x17b89c0
20845   0.000074 getpid()                                                                                       = 20845
20845   0.000055 __sprintf_chk(0x17b89c0, 1, -1, 0x407a3f, 0x407a26)                                            = 29
20845   0.000073 JLI_StrCCmp(0x17b89c0, 0x406d53, 48, 2, 0x407a43)                                              = 0xffffffec
20845   0.000067 getenv("_JAVA_SPLASH_JAR")                                                                     = NULL
20845   0.000061 getenv("_JAVA_SPLASH_FILE")                                                                    = NULL
20845   0.000058 strchr("_JAVA_VERSION_SET", '=')                                                               = NULL
20845   0.000058 strchr("_JAVA_SPLASH_FILE", '=')                                                               = NULL
20845   0.000057 strchr("_JAVA_SPLASH_JAR", '=')                                                                = NULL
20845   0.000057 JLI_MemFree(0, 0, 76, 95, 0x7f3167b2d548)                                                      = 0
20845   0.000066 JLI_MemFree(0, 0, 76, 95, 0x7f3167b2d548)                                                      = 0
20845   0.000073 pthread_attr_init(0x7fffc0cfaa00, 0x100000, 0x7fffc0cfab20, 0, 0x7f3167b2d548)                 = 0
20845   0.000078 pthread_attr_setdetachstate(0x7fffc0cfaa00, 0, 0, 0, 0x7f3167b2d548)                           = 0
